4	12	3	7	1	11	3	8	7	10	11	8	9	
10	3	14	2	7	9	14	13	3	9	6	4	4	
3	11	13	8	7	9	13	4	14	1	7	12	8	
5	8	5	2	12	6	1	5	11	8	10	12	2	
2	8	6	6	4	1	1	7	11	1	6	6	2	
10	6	7	2	1	10	3	13	5	1	5	11	1	
1	6	1	7	1	1	6	1	14	7	7	11	7	
3	13	12	9	11	2	1	1	12	1	3	7	2	
3	5	5	11	7	12	1	8	5	1	4	14	11	
6	3	7	1	7	8	12	11	4	9	4	12	6	
10	7	1	1	14	13	13	1	4	4	4	14	13	
11	13	4	5	2	1	9	8	7	4	12	14	2	
14	11	9	2	2	4	13	2	7	11	11	1	14	
9	6	3	13	5	4	11	9	13	10	9	10	8	
3	1	14	1	8	3	9	14	8	1	6	6	6	
********************
4	12	3	7	1	11	3	8	7	10	11	8	9	
10	3	14	2	7	9	14	13	3	9	6	4	4	
3	11	13	8	7	9	13	4	14	1	7	12	8	
5	8	5	2	12	6	1	5	11	8	10	12	2	
2	8	6	6	4	1	1	7	11	1	6	6	2	
10	6	7	2	1	10	3	13	5	1	5	11	1	
1	6	1	7	1	1	6	1	14	7	7	11	7	
3	13	12	9	11	2	1	1	12	1	3	7	2	
3	5	5	11	7	12	1	8	5	1	4	14	11	
6	3	7	1	7	8	12	11	4	9	4	12	6	
10	7	1	1	14	13	13	1	4	4	4	14	13	
11	13	4	5	2	1	9	8	7	4	12	14	2	
14	11	9	2	2	4	13	2	7	11	11	1	14	
9	6	3	13	5	4	11	9	13	10	9	10	8	
3	1	14	1	8	3	9	14	8	1	6	6	6	
********************
4	12	3	7	1	11	3	8	7	10	11	8	9	
10	3	14	2	7	9	14	13	3	9	6	4	4	
3	11	13	8	7	9	13	4	14	1	7	12	8	
5	8	5	2	12	6	1	5	11	8	10	12	2	
2	8	6	6	4	1	1	7	11	1	6	6	2	
10	6	7	2	1	10	3	13	5	1	5	11	1	
1	6	1	7	1	1	6	1	14	7	7	11	7	
3	13	12	9	11	2	0	0	12	0	0	7	2	
3	5	5	11	7	12	0	0	0	0	0	14	11	
6	3	7	1	7	8	12	11	4	9	0	12	6	
10	7	1	1	14	13	13	0	0	0	0	14	13	
11	13	4	5	2	1	9	0	0	0	12	14	2	
14	11	9	2	2	4	13	0	0	0	11	1	14	
9	6	3	13	5	4	11	9	13	0	9	10	8	
3	1	14	1	8	3	9	14	8	0	6	6	6	
********************
4	12	3	7	1	11	3	8	7	10	11	8	9	
10	3	14	2	7	9	14	13	3	9	6	4	4	
3	11	13	8	7	9	13	4	14	1	7	12	8	
5	8	0	0	12	6	1	5	11	8	10	12	2	
2	8	0	0	4	1	1	7	11	1	6	6	2	
10	6	0	0	0	10	3	13	5	1	5	11	1	
0	0	0	7	0	0	0	0	14	7	7	11	7	
3	13	12	9	11	2	0	0	12	1	3	7	2	
3	5	5	11	7	12	0	8	5	1	4	14	11	
6	3	7	1	7	8	12	11	4	9	4	12	6	
10	7	1	1	14	13	13	1	4	4	4	14	13	
11	13	4	5	2	1	9	8	7	4	12	14	2	
14	11	9	2	2	4	13	2	7	11	11	1	14	
9	6	3	13	5	4	11	9	13	10	9	10	8	
3	1	14	1	8	3	9	14	8	1	6	6	6	
